time,dir_prev_bfnum,dir_prev_num,num_staff,num_actor,new_screening_rat,new_genre,new_num,distributor_group,year,month,box_off_num
96,0.0,0,91,2,3,10,76,2,2012,11,23398
130,1161602.5,2,387,3,3,2,38,2,2015,11,7072501
123,220775.25,4,343,4,1,10,38,2,2013,6,6959083
101,23894.0,2,20,6,2,11,36,2,2012,7,217866
108,1.0,1,251,2,1,11,4,0,2010,11,483387
113,837969.0,2,262,4,1,11,76,2,2012,10,233211
104,0.0,0,32,5,2,3,2,0,2013,5,53526
96,739522.0,3,342,2,3,10,38,2,2012,10,1110523
129,0.0,0,3,5,2,6,1,0,2014,9,4778
94,0.0,0,138,3,1,4,2,0,2012,3,868
89,0.0,0,0,4,3,5,19,1,2015,7,745
98,0.0,0,0,1,0,1,1,0,2015,7,1079
113,431231.0,1,14,2,0,4,15,1,2012,3,5851
107,534232.5,2,15,4,3,8,1,0,2013,9,23052
100,0.0,0,152,1,0,4,3,0,2012,11,92404
67,0.0,0,52,3,3,4,4,0,2014,9,39317
124,8223342.0,1,572,11,1,11,3,0,2011,5,7453715
98,773.0,1,8,4,2,4,1,0,2012,4,5693
104,0.0,0,359,4,0,4,8,1,2014,11,814570
115,0.0,0,74,9,3,4,7,1,2010,5,57029
117,495068.5,2,466,3,0,4,85,2,2014,9,1624573
90,0.0,0,228,1,3,4,7,1,2015,8,44074
91,0.0,0,0,1,1,1,2,0,2015,8,914
108,75740.0,1,288,3,3,4,76,2,2014,2,781516
106,0.0,0,153,3,3,4,12,1,2014,11,1176
116,0.0,0,183,3,3,4,1,0,2015,9,3094
89,0.0,0,40,10,1,1,37,2,2010,2,2807
89,0.0,0,0,4,3,5,19,1,2015,7,745
93,0.0,0,250,3,3,2,36,2,2010,3,160734
90,0.0,0,29,3,3,4,10,1,2013,8,3460
117,0.0,0,369,7,0,4,7,1,2011,3,73729
90,0.0,0,71,2,1,4,3,0,2011,7,521
85,0.0,0,10,8,2,9,85,2,2015,4,285084
88,0.0,0,9,2,1,5,37,2,2011,12,390
114,683213.333333333,3,324,2,0,5,85,2,2011,12,3009406
94,0.0,0,2,2,0,3,12,1,2015,6,4586
67,0.0,0,1,5,3,4,1,0,2014,7,2923
122,0.0,0,135,2,3,4,3,0,2014,5,10142
84,0.0,0,96,5,0,4,12,1,2014,9,2703
121,8052.5,2,315,2,1,5,12,1,2012,2,1726227
95,0.0,0,95,2,1,5,1,0,2010,3,9089
87,4598985.0,1,182,3,3,5,76,2,2013,4,38809
96,0.0,0,10,4,3,4,1,0,2010,4,742
90,0.0,0,100,4,3,5,8,1,2014,3,3772
119,0.0,0,471,4,3,2,85,2,2010,10,2723028
102,984.0,1,23,3,3,4,43,2,2013,5,1209
117,0.0,0,106,2,0,4,85,2,2010,1,27083
107,0.0,0,368,4,3,5,2,0,2015,12,321641
112,1159954.0,2,600,4,1,10,36,2,2014,11,1177435
80,0.0,0,44,3,2,9,5,1,2014,8,21939
87,695201.5,2,140,3,2,11,27,1,2014,10,72
112,583770.0,3,315,3,3,11,5,1,2015,1,151550
84,0.0,0,20,10,2,3,2,0,2010,7,15687
107,0.0,0,9,11,2,3,1,0,2015,8,35857
72,427.0,2,107,2,3,4,43,2,2014,10,112
120,75740.0,1,279,2,1,4,38,2,2012,1,986287
103,0.0,0,125,8,1,11,3,0,2015,5,2410
69,0.0,0,1,4,3,5,19,1,2015,4,514
114,0.0,0,290,5,3,1,11,1,2010,7,1012310
124,372863.0,2,319,3,3,2,76,2,2013,11,2971475
109,495535.0,1,292,8,2,4,8,1,2014,12,306642
97,874146.666666667,3,67,4,1,5,1,0,2013,11,484
127,0.0,0,24,3,0,4,1,0,2012,5,432
